i,l,k,zeta,w,phi1,phi2,xn,yn,xl1,yl1,xl2,yl2,xs,ys,delta_s,r,drdn,G,dGdn
1,3,1,-0.339981,0.652145,0.669991,0.330009,0.965926,0.258819,0.707107,0.707107,0.5,0.866025,0.63876,0.759551,0.261052,0.598139,0.33118,0.513932,-0.553683
1,3,2,0.339981,0.652145,0.330009,0.669991,0.965926,0.258819,0.707107,0.707107,0.5,0.866025,0.568347,0.813581,0.261052,0.682517,0.290237,0.381968,-0.425245
1,3,3,0.861136,0.347855,0.0694318,0.930568,0.965926,0.258819,0.707107,0.707107,0.5,0.866025,0.51438,0.854991,0.261052,0.747874,0.264873,0.290521,-0.354168
1,4,0,-0.861136,0.347855,0.930568,0.0694318,0.965926,0.258819,0.5,0.866025,0.258819,0.965926,0.483254,0.872962,0.261052,0.781116,0.489919,0.247031,-0.627203
1,4,1,-0.339981,0.652145,0.669991,0.330009,0.965926,0.258819,0.5,0.866025,0.258819,0.965926,0.420408,0.898993,0.261052,0.841078,0.454991,0.17307,-0.540962
1,4,2,0.339981,0.652145,0.330009,0.669991,0.965926,0.258819,0.5,0.866025,0.258819,0.965926,0.338411,0.932958,0.261052,0.920998,0.415509,0.0822971,-0.451151
1,4,3,0.861136,0.347855,0.0694318,0.930568,0.965926,0.258819,0.5,0.866025,0.258819,0.965926,0.275565,0.95899,0.261052,0.983279,0.389191,0.0168626,-0.39581
1,5,0,-0.861136,0.347855,0.930568,0.0694318,0.965926,0.258819,0.258819,0.965926,6.12323e-17,1,0.240849,0.968292,0.261052,1.01444,0.600096,-0.0143366,-0.591554
1,5,1,-0.339981,0.652145,0.669991,0.330009,0.965926,0.258819,0.258819,0.965926,6.12323e-17,1,0.173406,0.977171,0.261052,1.06963,0.569131,-0.0673162,-0.53208
1,5,2,0.339981,0.652145,0.330009,0.669991,0.965926,0.258819,0.258819,0.965926,6.12323e-17,1,0.0854127,0.988755,0.261052,1.14373,0.532261,-0.134292,-0.465375
1,5,3,0.861136,0.347855,0.0694318,0.930568,0.965926,0.258819,0.258819,0.965926,6.12323e-17,1,0.0179703,0.997634,0.261052,1.20186,0.506516,-0.18387,-0.421443
1,6,0,-0.861136,0.347855,0.930568,0.0694318,0.965926,0.258819,6.12323e-17,1,-0.258819,0.965926,-0.0179703,0.997634,0.261052,1.23041,0.699703,-0.207344,-0.568676
1,6,1,-0.339981,0.652145,0.669991,0.330009,0.965926,0.258819,6.12323e-17,1,-0.258819,0.965926,-0.0854127,0.988755,0.261052,1.27989,0.67265,-0.246774,-0.525553
1,6,2,0.339981,0.652145,0.330009,0.669991,0.965926,0.258819,6.12323e-17,1,-0.258819,0.965926,-0.173406,0.977171,0.261052,1.34689,0.639191,-0.297797,-0.474569
1,6,3,0.861136,0.347855,0.0694318,0.930568,0.965926,0.258819,6.12323e-17,1,-0.258819,0.965926,-0.240849,0.968292,0.261052,1.39988,0.614996,-0.336385,-0.439321
1,7,0,-0.861136,0.347855,0.930568,0.0694318,0.965926,0.258819,-0.258819,0.965926,-0.5,0.866025,-0.275565,0.95899,0.261052,1.42532,0.787171,-0.354396,-0.552277
1,7,1,-0.339981,0.652145,0.669991,0.330009,0.965926,0.258819,-0.258819,0.965926,-0.5,0.866025,-0.338411,0.932958,0.261052,1.46825,0.764155,-0.384071,-0.520453
1,7,2,0.339981,0.652145,0.330009,0.669991,0.965926,0.258819,-0.258819,0.965926,-0.5,0.866025,-0.420408,0.898993,0.261052,1.52701,0.734753,-0.423308,-0.481172
1,7,3,0.861136,0.347855,0.0694318,0.930568,0.965926,0.258819,-0.258819,0.965926,-0.5,0.866025,-0.483254,0.872962,0.261052,1.57394,0.712841,-0.453583,-0.452902
1,8,0,-0.861136,0.347855,0.930568,0.0694318,0.965926,0.258819,-0.5,0.866025,-0.707107,0.707107,-0.51438,0.854991,0.261052,1.59585,0.861065,-0.467404,-0.539567
